Rayo Vallecano de Madrid,1,Stole Dimitrievski,Goalkeeper,2018,07,15,2019,09,01
Rayo Vallecano de Madrid,2,Mario Hernández,Right Back,2018,07,05,2019,10,15
Rayo Vallecano de Madrid,3,Alejandro Catena,Centre Back,2018,07,18,2019,11,25
Rayo Vallecano de Madrid,4,Florian Lejeune,Centre Back,2018,07,28,2020,01,10
Rayo Vallecano de Madrid,5,Fran García,Left Back,2018,07,12,2020,02,25
Rayo Vallecano de Madrid,6,Santi Comesaña,Centre Midfielder,2018,07,22,2020,04,05
Rayo Vallecano de Madrid,7,Isi Palazón,Right Midfielder,2018,07,03,2020,05,18
Rayo Vallecano de Madrid,8,Óscar Trejo,Attacking Midfielder,2018,07,26,2020,06,30
Rayo Vallecano de Madrid,9,Raúl de Tomás,Striker,2018,07,15,2020,08,10
Rayo Vallecano de Madrid,10,Álvaro García,Left Midfielder,2018,07,30,2020,09,25
Rayo Vallecano de Madrid,11,Andrés Martín,Right Midfielder,2018,07,10,2020,11,05
Rayo Vallecano de Madrid,13,Diego López,Goalkeeper,2018,07,18,2021,01,15
Rayo Vallecano de Madrid,14,Óscar Valentín,Centre Midfielder,2018,07,25,2021,03,01
Rayo Vallecano de Madrid,15,Iván Balliu,Right Back,2018,07,01,2021,04,15
Rayo Vallecano de Madrid,16,Unai López,Centre Midfielder,2018,07,10,2021,06,01
