Getafe CF,1,David Soria,Goalkeeper,2018,07,15,2019,09,01
Getafe CF,2,Damián Suárez,Right Back,2018,07,05,2019,10,15
Getafe CF,3,Jorge Cuenca,Centre Back,2018,07,18,2019,11,25
Getafe CF,4,Domingos Duarte,Centre Back,2018,07,28,2020,01,10
Getafe CF,5,Stefan Mitrović,Centre Back,2018,07,12,2020,02,25
Getafe CF,6,Mauro Arambarri,Centre Midfielder,2018,07,22,2020,04,05
Getafe CF,7,Portu,Right Midfielder,2018,07,03,2020,05,18
Getafe CF,8,Nemanja Maksimović,Centre Midfielder,2018,07,26,2020,06,30
Getafe CF,9,Enes Ünal,Striker,2018,07,15,2020,08,10
Getafe CF,10,Carles Aleñá,Attacking Midfielder,2018,07,30,2020,09,25
Getafe CF,11,Juan Iglesias,Right Midfielder,2018,07,10,2020,11,05
Getafe CF,12,Diego Conde,Left Back,2018,07,18,2021,01,15
Getafe CF,13,Kiko Casilla,Goalkeeper,2018,07,25,2021,03,01
Getafe CF,14,Óscar Rodríguez,Attacking Midfielder,2018,07,01,2021,04,15
Getafe CF,15,Omar Alderete,Left Back,2018,07,10,2021,06,01
