Athletic Club,1,Unai Simón,Goalkeeper,2018,07,15,2019,09,01
Athletic Club,2,Óscar de Marcos,Right Fullback,2018,07,05,2019,10,15
Athletic Club,3,Dani Vivian,Centre Back,2018,07,18,2019,11,25
Athletic Club,4,Iñigo Martínez,Centre Back,2018,07,28,2020,01,10
Athletic Club,5,Yeray Álvarez,Centre Back,2018,07,12,2020,02,25
Athletic Club,6,Mikel Vesga,Centre Midfielder,2018,07,22,2020,04,05
Athletic Club,7,Álex Berenguer,Right Midfielder,2018,07,03,2020,05,18
Athletic Club,8,Oihan Sancet,Attacking Midfielder,2018,07,26,2020,06,30
Athletic Club,9,Iker Muniain,Left Midfielder,2018,07,15,2020,08,10
Athletic Club,10,Íñigo Córdoba,Right Midfielder,2018,07,30,2020,09,25
Athletic Club,11,Nico Williams,Left Midfielder,2018,07,10,2020,11,05
Athletic Club,12,Aitor Paredes,Goalkeeper,2018,07,18,2021,01,15
Athletic Club,13,Julen Agirrezabala,Goalkeeper,2018,07,25,2021,03,01
Athletic Club,14,Dani García,Centre Midfielder,2018,07,01,2021,04,15
Athletic Club,15,Iñigo Lekue,Right Back,2018,07,10,2021,06,01
