RCD Espanyol de Barcelona,1,Benjamin Lecomte,Goalkeeper,2018,07,15,2019,09,01
RCD Espanyol de Barcelona,2,Óscar Gil,Right Back,2018,07,05,2019,10,15
RCD Espanyol de Barcelona,3,Adrià Pedrosa,Centre Back,2018,07,18,2019,11,25
RCD Espanyol de Barcelona,4,Leandro Cabrera,Centre Back,2018,07,28,2020,01,10
RCD Espanyol de Barcelona,5,Sergi Gómez,Centre Back,2018,07,12,2020,02,25
RCD Espanyol de Barcelona,6,Pol Lozano,Centre Midfielder,2018,07,22,2020,04,05
RCD Espanyol de Barcelona,7,Adrián Embarba,Left Midfielder,2018,07,03,2020,05,18
RCD Espanyol de Barcelona,8,Vini Souza,Centre Midfielder,2018,07,26,2020,06,30
RCD Espanyol de Barcelona,9,Javi Puado,Striker,2018,07,15,2020,08,10
RCD Espanyol de Barcelona,10,Sergi Darder,Attacking Midfielder,2018,07,30,2020,09,25
RCD Espanyol de Barcelona,11,Nico Melamed,Right Midfielder,2018,07,10,2020,11,05
RCD Espanyol de Barcelona,13,Álvaro Fernández,Goalkeeper,2018,07,18,2021,01,15
RCD Espanyol de Barcelona,14,Keidi Bare,Centre Midfielder,2018,07,25,2021,03,01
RCD Espanyol de Barcelona,15,Brian Oliván,Left Back,2018,07,01,2021,04,15
RCD Espanyol de Barcelona,16,Aleix Vidal,Right Back,2018,07,10,2021,06,01
